"Descricao_do_cargo.emprego","Nome_orgao_de_origem","UF_da_UPAG_de_vinculacao","Cidade_da_residencia","Nivel_escolaridade","Ano_Mes_inicio_afastamento","Ano_Mes_referencia","Valor_rendimento_liquido","Descricao_do_afastamento","Ano_inicio_afastamento","Mes_inicio_afastamento","Rendimento_Liquido_Hora"
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIV. FEDERAL DE OURO PRETO    ","MG","BELO HORIZONTE                ","NS",2021-03-01,2021-04-01,21019.29,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",125.114821428571
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIV. FEDERAL DE OURO PRETO    ","MG","OURO BRANCO                   ","NS",2021-02-01,2021-04-01,9500.55,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",56.5508928571429
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE FEDERAL DO ABC    ","SP","SAO PAULO                     ","NS",2021-01-01,2021-04-01,16136.05,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","01",96.0479166666667
"PEDAGOGO-AREA                           ","INSTITUTO FEDERAL DE RONDONIA           ","RO","VILHENA                       ","NS",2021-04-01,2021-04-01,9663.17,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","04",57.518869047619
"PROFESSOR ENS BASICO TECN TECNOLOGICO   ","INSTITUTO FEDERAL DE SERGIPE            ","SE","BARRA DOS COQUEIROS           ","NS",2021-02-01,2021-04-01,17284.75,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","02",102.885416666667
"TECNICO EM ASSUNTOS EDUCACIONAIS        ","UNIVERSIDADE FEDERAL DO OESTE DO PARA   ","PA","SANTAREM                      ","NS",2021-02-01,2021-04-01,10843.45,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","02",64.5443452380952
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO CARIRI          ","CE","CRATO                         ","NS",2021-02-01,2021-04-01,8690.64,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","02",51.73
"TECNOLOGISTA EM SAUDE PUBLICA           ","FUNDACAO OSWALDO CRUZ                   ","RJ","RIO DE JANEIRO                ","NS",2021-02-01,2021-04-01,16211.01,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","02",96.4941071428571
"AUDITOR FISCAL FEDERAL AGROPECUARIO     ","MINIST.DA AGRICULTURA,PECUARIA E ABAST. ","DF","BRASILIA                      ","NS",2021-01-01,2021-08-01,20834.24,"Afas. Missão Exterior Com Ônus - EST","2021","01",124.013333333333
"AUDITOR-FISCAL DA RECEITA FEDERAL BRASIL","MINISTERIO DA ECONOMIA                  ","DF","BRASILIA                      ","NS",2021-08-01,2021-08-01,30761.62,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","08",183.104880952381
"AGENTE DE POL FEDERAL CLASSE ESPECIAL   ","DEPARTAMENTO DE POLICIA FEDERAL         ","DF","BRASILIA                      ","NS",2021-06-01,2021-08-01,22522.05,"Afas. Viagem/Serv Fora do País Com Ônus - EST","2021","06",134.059821428571
"AGENTE DE POL FEDERAL CLASSE ESPECIAL   ","DEPARTAMENTO DE POLICIA FEDERAL         ","DF","BRASILIA                      ","NS",2021-06-01,2021-08-01,20077.07,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","06",119.506369047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","COMANDO DA AERONAUTICA                  ","SP","SAO JOSE DOS CAMPOS           ","NS",2021-07-01,2021-08-01,26214.07,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",156.036130952381
"TECNOLOGISTA                            ","AGENCIA ESPACIAL BRASILEIRA             ","DF","BRASILIA                      ","NS",2021-08-01,2021-08-01,23080.15,"Afas. Viagem/Serv Fora do País Com Ônus - EST","2021","08",137.381845238095
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUND.UNIV.FED.DO VALE DO SAO FRANCISCO  ","PE","PORTO ALEGRE                  ","NS",2021-08-01,2021-08-01,12840.85,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",76.433630952381
"TECNICO DE LABORATORIO AREA             ","UNIVERSIDADE FEDERAL DE ALAGOAS         ","AL","MACEIO                        ","NI",2021-03-01,2021-08-01,4272.96,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","03",25.4342857142857
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DO CEARA           ","CE","FORTALEZA                     ","NS",2021-02-01,2021-08-01,18034.59,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",107.34875
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-04-01,2021-08-01,12368.85,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","04",73.6241071428571
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-03-01,2021-08-01,12907.79,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",76.8320833333333
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-07-01,2021-08-01,13337.39,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",79.3892261904762
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-08-01,2021-08-01,17829.97,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",106.130773809524
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-08-01,5061.82,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",30.129880952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-08-01,13193.95,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",78.5354166666667
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-08-01,2021-08-01,17049.91,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",101.48755952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-07-01,2021-08-01,13340.29,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","07",79.4064880952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-08-01,2021-08-01,12846.5,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","08",76.4672619047619
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERSIDADE FEDERAL DE GOIAS           ","GO","GOIANIA                       ","NS",2021-01-01,2021-08-01,13247,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",78.8511904761905
